string_id,text
626455339859968,Exit Area
626455339859969,Teleports you out of your current flashpoint.
626455339860227,
628834751741952,Examining
628834751741953,Learn to craft this item.
628834751742214,
628851931611136,Buff Worker Sick
628851931611137,This is a hidden buff that says that the workers are sick.
628856226578432,Debuff Worker Sick
628856226578433,
628856226578690,
629375917621248,Ivory Shoots Dust
629375917621249,
629607845855232,
629607845855233,
630071702323200,Tool Archaeology
630071702323201,
630599983300608,Armor Pierce
630599983300609,
630599983300868,Punctured Armor
630599983300869,"Your armor has been punctured, resulting in a cumulative -2% Armor Rating."
630630048071680,Explode Knockback
630630048071681,
630630048071940,
630630048071941,
630634343038976,Jump To
630634343038977,
630634343039234,
631884178522112,Credit Aura Flag
631884178522113,
631944308064256,Credit Aura Remove
631944308064257,
632438229303296,Live Wire
632438229303297,
632438229303558,
632438229303559,
632438229303560,
632446819237888,Live Wire Flag
632446819237889,
632446819238150,
632446819238151,Electrocution
632446819238152,
632451114205184,Live Wire Remove
632451114205185,
632919265640448,Trauma (PVP)
632919265640449,Recently engaged in combat with an enemy player. Healing received reduced by 15%.
632919265640704,Recently engaged in combat with an enemy player. Healing received reduced by 15%.
632923560607744,Trauma (PVP)
632923560607745,Recently engaged in combat with an enemy player. Healing received reduced by 15%.
632923560608000,Recently engaged in combat with an enemy player. Healing received reduced by 15%.
633155488841728,Infection
633155488841729,Buff placed on Gen'Dai to indicate they are sick. This what is used to check when the Gen'Dai are cured or not.
633189848580096,Apply Gen'Dai Cure
633189848580097,Launches a probe to apply the Gen'Dai Cure.  May cause the Gen'Dai to become aggressive!
633189848580352,Cured
633189848580353,This Infected Gen'Dai has been cured.
633189848580354,Target not infected.
633189848580355,Target not infected.
633189848580362,
633189848580367,
633189848580368,
633207028449280,Dispel Debuff
633207028449281,This dispels the sickness buff on the Infected Gen'Dai so the player cannot use the item and get credit for curing an aggroed sick Gen'Dai.
633602165440512,Bark
633602165440513,This is an an ability that forces an npc to randomly emit a bark. A quest step fires hydra which activates this ability on the player. Every 10 seconds this ability fires and triggers on an npc with the the Bark Flag Ability. 
633602165440770,
634401029357568,Sithspawn Attack
634401029357569,
634736036806656,Bark Flag
634736036806657,
634821936152576,Buff Is Infected
634821936152577,"A buff that listens for the Rakghoul infection to advance the quest ""Catalyst"""
634821936152834,
634877770727424,Reactor Explosion
634877770727425,
634877770727699,Your muscles have seized...
634877770727700,
634877770727701,
634877770727702,
634877770727703,The shockwave consumes you...
634877770727704,
634877770727705,Your flesh smolders as the inferno consumes you...
634877770727706,
635865613205504,On Spawn Frozen
635865613205505,"HACK - there is an issue with carbonite frozen mobs that when u leave a room and they spawn in, their frozen appearence does not persist"
636720311697408,Land Mine
636720311697409,
636720311697673,
636720311697674,Floored by the blast...
636720311697675,
637510585679872,Magnetar Rifle
637510585679873,Fire the Magnetar Rifle at the force field to disable it.
637510585680130,
639808393183232,HRRM-5 Blast Shielding
639808393183233,Blast shielding field dampens all incoming damage.
639812688150528,HRRM-5 Plasma Batteries Charged
639812688150529,"Batteries containing high density, super-heated plasma augment HRRM5's attacks."
639816983117824,HRRM-5 Auxillery Targeting Active
639816983117825,"HRRM-5's advanced function system is fully charged, greatly increasing firing accuracy."
639816983118082,
640439753375744,Explode Damage
640439753375745,
641307336769536,Scan Area
641307336769537,Scans weather paterns in the area
641522085134336,You Stink
641522085134337,That trip through the sewers has put a smell on you that may never come out.
641526380101632,Debuff Stinks
641526380101633,"This debuff is cast in two situations: On Abandon of ""Due Process"" and on completion of the quest ""Race the Devil."""
641526380101890,
641668114022400,Flare Gun
641668114022401,Brant Organa has asked you to fire this signal flare from the broke bridge once the coastal beacons have been repaired.
641668114022656,
641766898270208,Enemy Decloaker
641766898270209,Decloaks enemies when used in the proper area.
641865682518016,Melee Attack
641865682518017,A single unarmed swing for a probe droid.
641865682518278,
641865682518279,
642157740294144,Reprogrammed Battle Droid
642157740294145,
642157740294406,
642157740294407,
642157740294408,
642497042710528,Heavy Artillery
642497042710529,This ability immobilizes the NPC and allows them to fire high damage grenades at the player that have AOE damage on impact at the players location.
642497042710804,
642497042710805,
642497042710806,
642497042710807,
642497042710808,The naplam sears your flesh...
642497042710809,
642497042710810,
642497042710811,The naplam sears your flesh...
642497042710812,
642497042710813,
642604416892928,Can Be Recorded
642604416892929,
642613006827520,Recording Device
642613006827521,"Record fight with an implanted gangster.
(Cooldown 20s)"
642613006827782,Invalid Target
642613006827785,Recording Probe
642613006827786,Recording Already In Progress
642613006827787,Fight is being recorded.
642613006827788,
643141287804928,Ice Column Spawn
643141287804929,
643197122379776,Pull Surrounding Enemies
643197122379777,"This ability is fired whenever the player disables a bike... causes an AoE burst of aggro to attrack anyone who ""heard"" the explosion."
643197122380040,
643197122380041,
643197122380042,
643197122380043,
644446957862912,Buff Infection Fx
644446957862913,
644854979756032,Buff Remove Infection
644854979756033,
644975238840320,Power Battery
644975238840321,
645520699686912,Riot Gas Cure
645520699686913,
645520699687170,
645662433607680,Warden Droid Riot Gas Debuff
645662433607681,
647200031899648,Floating Stasis
647200031899649,
647200031899906,Stasis
647462024904704,Dispel Slave Buff
647462024904705,
648750515093504,Targetshot
648750515093505,
649553673977856,Dread Master Battle Invulnerability
649553673977857,"The force flows through the Dread Masters into the Esh-kha Savants, imbuing them with invunerability for as long as they stay connected to a brainwashed Dread Master."
649575148814336,Dread Master Dispel No Damage
649575148814337,
650227983843328,Collared
650227983843329,Target been tagged with a restraining collar and is making their way to Vitani Pass
652826439057408,Mirr Artifact
653595238203392,Is A Vorantiki
653595238203393,A hidden buff to mark an enemy as a Vorantiki for the quest.
653599533170688,Emp Grenade
653599533170689,"Item to be used against the Augmented Vorantiki. Should reduce their fighting ability in some way, be it direct damage, or some sort of statistical debuff."
654823598850048,Remote Sniper Fire
654823598850049,Lock and fire the remote sniper weapon.
654823598850304,RC-TIGER Target Acquired
655343289892864,Immobilize All Players 15sec
655343289892865,This ability immobilizes all players for fifteen seconds. This is used in the event that the player must not move immediately after post load or otherwise to prevent issues with scripting.
655343289893122,
657185830862848,Chief Engineer
657185830862849,Used to prevent Chief Engineer from leaving his perch during the Ramjet event.
657185830863110,
657185830863111,
657190125830144,Ramjet Upgrade
657190125830145,This ability governs all visual aspects of the Ramjet event for the player. It is directly involved in the quest's progression.
657190125830400,Incinerated
657190125830401,Burned alive...
657190125830402,WARNING: Activation will generate EXTREME TEMPERATURES! Use with caution!
657190125830414,
657190125830415,
657190125830416,
657190125830417,
657190125830418,
657190125830419,
657190125830420,
657190125830421,
657190125830422,
657190125830423,
657190125830424,
657692637003776,Project Missile To Door
663009806516224,Accessing Galaxy Map...
663009806516225,
663100000829440,Kellian Jarro Spawn
663100000829441,Assists in instructing Kellian to protect Thendys during the fight.
663100000829696,Preparing a counterattack...
663100000829697,Counter Stance
663100000829723,
663100000829724,
663100000829725,
663100000829726,
663100000829727,
663658346577920,Accessing Galaxy Map...
663658346577921,
664495865200640,The Rot
664495865200641,This citizen is afflicted with the plague spreading among the poor of Nar Shaddaa.
664495865200898,This citizen is afflicted with the plague spreading among the poor of Nar Shaddaa.
664495865200899,The Rot
664500160167936,Rot Cure
664500160167937,Injecting the Diseased Citizens of Nar Shaddaa with this chemical compound should cure them of The Rot.
664500160168196,
664500160168197,
664663368925184,Shai Shield
664663368925185,"This is the buff on Admiral Shai for his ""personal shield"".  It reduces damage by "
664680548794368,Dispell Shai Shield
664680548794369,
666402830680064,Setting Ultrasonic Sensor
666402830680065,Use sensors at given coordinates
666441485385728,Guard Uniform
666441485385729,Wearing the Rustyard Guard uniforms makes you appear friendly to Rustyard Guards.
666441485385990,
666441485385991,
666441485385992,
666450075320320,Remove Uniform
666450075320321,
666458665254912,Area Check Tick
666458665254913,Checks if the player is still in the area every tick. This keeps players from shuttling because every tick it fires hydra and if the player is not 
667188809695232,Signaling Contact
667188809695233,Signals the Twin Suns contact
667644076228608,Force Drain Remover  
667644076228609,
667682730934532,
667682730934533,
668331270995968,Sniper Kill
668331270995969,
669684185694208,
669684185694209,Remote trigger the explosive you planted in the hangar. This will likely draw the attention of the nearby security station... 
671831669342208,Destroying...
672179561693184,Is Uncon
672179561693185,
672179561693442,
672222511366144,Dispel Is Uncon
672222511366145,not used
672411489927168,Healing Adrenal
672411489927169,Cured Miner
672411489927426,
672415784894464,Quesh Venom Sickness
672415784894465,Poisoned Miner
701917915250688,Cleansing Flame
701917915250689,"The Guardian has punished you for your ""weakness"" with a cleansing fire."
701917915250944,"The Guardian has punished you for your ""weakness"" with a cleansing fire."
701922210217984,Crippling Pain
701922210217985,"The Wounded Twi'lek passed his suffering on to you. You can move, but only with extreme pain."
701922210218240,"The Wounded Twi'lek passed his suffering on to you. You can move, but only with extreme pain."
701926505185280,Cyanogen Gas Poisoning
701926505185281,You have been poisoned by the Cyanogen Gas trap. Maximum health reduced by 25%.
701926505185536,You have been poisoned by the Cyanogen Gas trap. Maximum health reduced by 25%.
721378412068864,Injure Zardres
721378412068865,This ability damages Zardres if the player has shot him during conversation.
721425656709120,Adrenal Boost
721425656709121,"Faster, stronger, unstoppable...and reckless."
721429951676416,Adrenal Boost Dispel
721429951676417,"EPP NEEDED! When applied, this solution with neutralize the effects of an adrenal boost."
721429951676674,
722258880364544,Initializing Ion Blast...
722482218663936,Ion Blast
722482218664200,
722482218664201,Ion Disrupted
722482218664202,M1-4X's shield  has been temporarily disabled due to the Ion Blast. Now's your chance to attack!
722482218664203,
722529463304192,Energy Shield
722529463304458,
722529463304460,Concentrated Energy Shield
722529463304461,"This highly-concentrated energy field makes M1-4X invulnerable to traditional damage. You'll have to find some way to bring it down in order destroy him.
"
722529463304462,
722529463304463,
722898830491648,Adrenal Gun
722898830491649,
722898830491910,
722898830491911,Incited
722898830491912,Elated!
722903125458944,Serene Icetromper
722903125458945,This Icetromper looks exceedingly calm.
723147938594816,Detonator
723147938594817,Activating this will trigger the UP-236TDC Explosives to detonate. You should probably be stand at least 20m away when you do this...
723178003365888,Detonate Eligible
723178003365889,Hidden ability flagging the player as eligible for the detonator usage and the explosion event.
725574595117056,Using Compass
725574595117057,
732330578673664,Summoning Probe Droid
736088675057664,Adasca Healing Kit
736088675057665,Adasca Biochemical Corporation's advanced NRS (Nanite Restoration System) quickly heals moderate injuries when introduced into the bloodstream of most organic organisms.
739670677782528,Hellfire Round
739670677782529,"The prototype Hellfire ammunition developed by Imperial intelligence concentrates the energy for a standard volley into a single shot, exciting refined Alderinium to critical instability. The resulting impact is devastating."
739670677782787,Incinerated
739670677782788,Burned alive...
739670677782789,Collateral Damage
739670677782801,
739670677782802,
739670677782803,
739670677782804,
739670677782806,Invalid Target
741624887902208,Boss On Spawn
741624887902466,
741775211757568,Boss Attack
741775211757830,
741775211757831,
741775211757832,
743153896259584,Emote Looping
743153896259585,
750687268896768,Explosion
750687268896769,Stub
750846182686720,Kill
750846182686721,
751610686865408,Planting Beacon
752151852744704,Thawing
752542694768640,Applying Shock Collar
752542694768641,Shock collars used to round up the Selonian Propagators
752542694768911,
752542694768912,
752542694768913,
752542694769052,That doesn't work
752843342479360,Shock Collar Remote
752843342479361,Activate a target's shock collar.
752843342479620,
752843342479621,
754471135084544,Buff Wild Dewback
754471135084545,This creature is a wild dewback that can be tamed
756644388536320,Shocking
757327288336384,Burning
757327288336385,You're slowly burning.
757327288336658,
757327288336659,
757327288336660,
757327288336661,
757327288336663,
757331583303680,Dispel Burning
757331583303681,The burning has stopped.
757340173238272,Buff Cave Collapse
757340173238273,
757490497093632,Dispel Cave Buff
757490497093633,"This ability simply removes the ""cave in"" buff from the player."
757679475654656,Installing Dataspike
757679475654657,
757945763627008,Dispel Debuffs
757945763627009,
758482634539008,Power of the Forge
758482634539009,Restoring the four Forge Crystals has unleashed a wave of force energy.  The power of your attacks has been increased for 10 minutes.
758482634539266,
759324448129024,Area Taunt 75m
759324448129025,
759324448129280,
759324448129281,
760484089298944,Illegal Mods
760484089298945,"Increases ranged and tech accuracy by 30% and armor penetration by 15% for <<1[%d/%d/%d]>> seconds and immediately restores 15 energy. In addition, Illegal Mods generates one charge of Smuggler's Luck."
760484089299203,"Accuracy increased.
Armor penetration increased."
760484089299206,Illegal Mods
760484089299207,"Increases ranged and tech accuracy by 30% and armor penetration by 15% for <<1[%d/%d/%d]>> seconds and immediately restores 15 energy. In addition, Illegal Mods resets the cooldown of Target Hack."
760484089299208,Illegal Mods
760484089299209,"Increases ranged and tech accuracy by 30% and armor penetration by 15% for <<1[%d/%d/%d]>> seconds and immediately restores 15 energy. In addition, Illegal Mods resets the cooldown of Blood Sights."
760724607467520,Sithspawn Death Vfx
760724607467521,
760776147075072,Sonic Emitter
760776147075073,The sonic waves are disoriented the Kag'Areth...
760776147075418,
760776147075419,
760776147075420,
760776147075421,
760776147075422,
760776147075423,
760776147075424,
760776147075425,
760776147075426,
760776147075427,Sonic Vibration
760776147075428,The vibrations are distorting your perception...
760776147075429,
